0,761
30,111
60,671
90,5799
120,3719
150,2834
180,902
210,226
240,20
270,103
300,571
330,1014
360,2130
390,5001
420,2177
450,1305
480,1038
510,758
540,633
570,280
600,206
630,3839
660,17
690,87
720,720
750,2945
780,85
810,61
840,141
870,72
886,706
916,151
946,933
976,305
1006,83
1036,830
1066,760
1096,504
1126,173
1156,598
1186,734
1216,167
1246,191
1247,64
1277,5040
1307,1703
1337,39
1367,4997
1427,14
1487,730
1517,12
1547,2809
1577,118
1607,451
1637,346
1667,23
1697,51
1727,404
1745,29
1775,673
1805,630
1865,2215
1895,491
1925,45
1955,310
1985,4269
2015,163
2045,2077
2075,7
2105,50
2135,204
2165,21
2195,675
2225,2
2255,2535
2285,345
2315,249
2345,85
2375,942
2405,84
2414,0
2444,132
2474,2164
2504,236
2534,133
2564,108
2594,208
2624,360
2632,1724
2634,28
2664,706
2694,41
2724,2071
2754,1320
2784,143
2814,249
2844,58
2874,25
2904,1410
2934,258
2964,493
2994,1187
3054,173
3084,1045
3114,1448
3144,493
3174,1032
3204,590
3234,79
3264,354
3294,1920
3324,202
3354,3215
3384,22
3414,1905
3444,7
3474,66
3504,531
3534,3294
3564,1308
3624,13
3654,2
3684,2060
3714,4690
3744,45
3774,5000
3804,314
3834,17
3864,22
3894,1
3924,806
3954,1501
3984,3164
4014,26
4044,39
4074,21
4104,269
4134,4
4164,501
4194,0
4214,0
4224,20
4254,2
4284,25
4314,2
4344,36
4374,1
4404,2
4434,243
4464,48
4494,15
4524,28
4554,15
4584,25
4614,1150
4644,375
4674,47
4704,4390
4734,0
4764,662
4794,310
4824,179
4854,4418
4884,0
4914,2075
4944,374
5004,18
5034,2203
5094,3852
5124,398
5154,109
5184,571
5214,3734
5244,0
5274,44
5304,2587
5364,2130
