,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time
28,749,1008862252303126530,rajivgandhi_n,2018-06-19 00:01:19,10,387,54.0,"Tiruchirapalli, India",0.2,0.7,0.7333333333333333,12.633333333333333,3.2666666666666666,48,0,2019-04-23 14:45:45
29,779,1008683713712930816,prabhaayyappan,2018-06-18 12:11:52,46,91,11.0,"Allinagaram, Theni",0.0,0.2333333333333333,0.06666666666666668,0.0,0.1,7,0,2019-04-23 14:45:45
30,786,1006097125938089984,admk_satheesh,2018-06-11 08:53:41,8,591,204.0,"Tamil Nadu, India",0.0,1.0,0.0,0.43333333333333335,2.6,254,0,2019-04-23 14:45:45
31,816,1008642243819761664,Sai72100878,2018-06-18 09:27:05,0,217,29.0,"Chennai, India",0.1,0.06666666666666668,0.03333333333333333,0.06666666666666668,0.13333333333333333,3,0,2019-04-23 14:45:45
32,819,1007158886938206208,AdmkArun,2018-06-14 07:12:45,8,302,145.0,"Tiruppur, India",0.9,0.6333333333333333,1.2666666666666666,0.5333333333333333,7.633333333333334,28,0,2019-04-23 14:45:45
33,847,1009255522602631168,SelvaMugavai,2018-06-20 02:04:02,0,176,55.0,0,0.0,0.2,0.3,0.1,1.2333333333333334,6,0,2019-04-23 14:45:45
34,853,1008882456575934464,Veerasa23144200,2018-06-19 01:21:36,104,140,142.0,"Padmanabhapuram, Tamil Nadu",0.03333333333333333,0.2333333333333333,0.1,1.1333333333333333,0.1,10,0,2019-04-23 14:45:45
35,863,1008655587528171521,SelvamAdmk,2018-06-18 10:20:06,0,125,11.0,"Coimbatore, India",0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,1,0,2019-04-23 14:45:45
36,864,1009050067985002496,VHh0ryw5wTWZQgV,2018-06-19 12:27:38,9,411,142.0,"Tamil Nadu, India",0.3,0.26666666666666666,0.3333333333333333,0.7666666666666667,2.333333333333333,12,0,2019-04-23 14:45:45
37,876,1008635639741362176,Jaganat39464129,2018-06-18 09:00:50,0,245,44.0,"Tirupathur, India",0.03333333333333333,0.1,1.1333333333333333,0.13333333333333333,0.36666666666666653,12,0,2019-04-23 14:45:45
38,888,791579675038449664,maalaitamizhaga,2016-10-27 09:57:56,21,1147,4915.0,"Chennai, India",0.0,1.0,0.0,0.1,0.8666666666666667,2603,0,2019-04-23 14:45:45
39,918,1008585159858270208,vijayadmk3,2018-06-18 05:40:15,19,432,220.0,"Salem, IN",0.9333333333333332,0.8,1.1,6.0,0.0,130,0,2019-04-23 14:45:45
40,948,736106427064799232,chandanmedia,2016-05-27 08:07:03,139,1455,364.0,"नई दिल्ली, भारत",0.9666666666666668,0.7666666666666667,0.9666666666666668,195.46666666666667,5.366666666666666,3883,0,2019-04-23 14:45:45
41,978,736906416414298112,SspGhaziabad,2016-05-29 13:05:55,0,53971,112.0,"गाज़ियाबाद, भारत",2.6,0.2,5.3,220.0,0.0,1953,0,2019-04-23 14:45:45
42,1008,897344801728643072,shivpal_rana,2017-08-15 06:30:47,36,24,49.0,0,0.03333333333333333,0.2333333333333333,0.13333333333333333,0.03333333333333333,0.0,7,0,2019-04-23 14:45:45
43,1015,775341808968691712,policemedianews,2016-09-12 14:34:27,98,4713,528.0,"नई दिल्ली, भारत",1.2,0.9666666666666668,0.6,0.3333333333333333,1.0333333333333334,19148,0,2019-04-23 14:45:45
44,1045,4848168385,uppstf,2016-02-02 06:58:01,0,11090,63.0,"Lucknow, Uttar Pradesh",0.8333333333333334,0.6666666666666666,1.0666666666666669,220.16666666666663,131.43333333333334,315,0,2019-04-23 14:45:45
45,1075,34245009,indiatvnews,2009-04-22 11:26:34,131,675330,28.0,India,2.1,1.8333333333333333,0.3333333333333333,10.866666666666667,32.3,426475,0,2019-04-23 14:45:45
46,1105,39743812,EconomicTimes,2009-05-13 12:54:58,120,3201871,44.0,0,1.7,0.8333333333333334,0.6,2.933333333333333,4.533333333333333,386241,0,2019-04-23 14:45:45
