,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
21,21,600,171825995,Andrew_Sesuraj,2010-07-28 07:35:08,87,624,451.0,"Chennai, India",0.06666666666666668,0.8666666666666667,0.1,0.03333333333333333,0.6333333333333333,515,0,2019-04-23 14:45:45,452.0,3191.2990393518517,0.1613762902346487,0.83,7.076051085037365
22,22,630,898614765299183616,KarthiAk57,2017-08-18 18:37:10,23,1101,1238.0,India,0.26666666666666666,0.3333333333333333,1.3333333333333333,51.43333333333333,0.2,3696,0,2019-04-23 14:45:45,1239.0,612.8392939814814,6.0309448762462745,3.36,0.4950236623436845
23,23,660,88643957,anilachankunju,2009-11-09 11:26:26,119,32,2.0,New Delhi,0.13333333333333333,0.6,0.6333333333333333,86.46666666666668,0.0,27,0,2019-04-23 14:45:45,3.0,3452.1384143518517,0.00782123911594933,0.84,1726.0692071759258
24,24,686,1054776204178292736,itisaprashanth,2018-10-23 16:46:58,85,227,15.0,"Chennai, India",2.033333333333333,0.4,0.7,26.7,1.5666666666666669,1051,0,2019-04-23 14:45:45,16.0,181.91582175925927,5.7773974239077175,4.63,12.127721450617285
25,25,716,1009295068484681728,Vishnuaiadmk1,2018-06-20 04:41:10,31,456,60.0,"Cuddalore, India",0.2,0.6,0.8,160.63333333333333,2.933333333333333,147,0,2019-04-23 14:45:45,61.0,307.419849537037,0.4781734173033283,0.32,5.123664158950617
26,26,746,1008616796927094784,admk_surya,2018-06-18 07:45:58,0,112,12.0,0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,1,0,2019-04-23 14:45:45,13.0,309.2915162037037,0.003233195699236012,0.01,25.774293016975307
27,27,747,1009304634161156097,AdmkSivaranjan,2018-06-20 05:19:11,0,148,25.0,Salem,0.06666666666666668,0.06666666666666668,0.1,0.06666666666666668,0.0,2,0,2019-04-23 14:45:45,26.0,307.39344907407406,0.006506319526406207,0.01,12.295737962962962
28,28,749,1008862252303126530,rajivgandhi_n,2018-06-19 00:01:19,10,387,54.0,"Tiruchirapalli, India",0.2,0.7,0.7333333333333333,12.633333333333333,3.2666666666666666,48,0,2019-04-23 14:45:45,55.0,308.61418981481484,0.1555340019485254,0.12,5.715077589163237
29,29,779,1008683713712930816,prabhaayyappan,2018-06-18 12:11:52,46,91,11.0,"Allinagaram, Theni",0.0,0.2333333333333333,0.06666666666666668,0.0,0.1,7,0,2019-04-23 14:45:45,12.0,309.10686342592595,0.022645889911394584,0.08,28.10062394781145
30,30,786,1006097125938089984,admk_satheesh,2018-06-11 08:53:41,8,591,204.0,"Tamil Nadu, India",0.0,1.0,0.0,0.43333333333333335,2.6,254,0,2019-04-23 14:45:45,205.0,316.24449074074073,0.8031760471306703,0.43,1.5502180918663762
